estacion,latitud,longitud,altitud,mes,ppt_media_mensual
PIZACOMA,-16.90434722222222,-69.36952777777778,3930,8,7.277764575213011
PIZACOMA,-16.90434722222222,-69.36952777777778,3930,9,11.696537485467935
PIZACOMA,-16.90434722222222,-69.36952777777778,3930,10,21.85572583742845
PIZACOMA,-16.90434722222222,-69.36952777777778,3930,11,36.926066864678425
PIZACOMA,-16.90434722222222,-69.36952777777778,3930,12,104.39206451974565
PUCARA,-15.045666666666667,-70.36663888888889,3877,1,155.9285877410449
PUCARA,-15.045666666666667,-70.36663888888889,3877,2,132.22962962962964
PUCARA,-15.045666666666667,-70.36663888888889,3877,3,118.2357502247624
PUCARA,-15.045666666666667,-70.36663888888889,3877,4,50.81519204490102
PUCARA,-15.045666666666667,-70.36663888888889,3877,5,9.808703600531134
PUCARA,-15.045666666666667,-70.36663888888889,3877,6,4.5879093555074135
PUCARA,-15.045666666666667,-70.36663888888889,3877,7,3.45
PUCARA,-15.045666666666667,-70.36663888888889,3877,8,8.91633709836958
PUCARA,-15.045666666666667,-70.36663888888889,3877,9,23.685571745841344
PUCARA,-15.045666666666667,-70.36663888888889,3877,10,56.62854685456524
PUCARA,-15.045666666666667,-70.36663888888889,3877,11,63.99566824202528
PUCARA,-15.045666666666667,-70.36663888888889,3877,12,118.68302362705401
PUNTA ATICO,-16.231741666666665,-73.696375,30,1,1.8551610863656953
PUNTA ATICO,-16.231741666666665,-73.696375,30,2,0.9768344865550278
PUNTA ATICO,-16.231741666666665,-73.696375,30,3,0.6834755593753649
PUNTA ATICO,-16.231741666666665,-73.696375,30,4,0.21491663355867074
PUNTA ATICO,-16.231741666666665,-73.696375,30,5,0.13473281066002712
PUNTA ATICO,-16.231741666666665,-73.696375,30,6,0.14103337368389862
PUNTA ATICO,-16.231741666666665,-73.696375,30,7,0.3857229597318257
PUNTA ATICO,-16.231741666666665,-73.696375,30,8,0.6115528375675066
PUNTA ATICO,-16.231741666666665,-73.696375,30,9,0.6052004456433032
PUNTA ATICO,-16.231741666666665,-73.696375,30,10,0.44631191986980545
PUNTA ATICO,-16.231741666666665,-73.696375,30,11,1.3824680044509428
PUNTA ATICO,-16.231741666666665,-73.696375,30,12,1.3074603489959378
PUNTA COLES,-17.698611111111113,-71.37330555555555,25,1,0.3147691311378034
PUNTA COLES,-17.698611111111113,-71.37330555555555,25,2,0.17859228516251122
PUNTA COLES,-17.698611111111113,-71.37330555555555,25,3,0.09856442275907623
PUNTA COLES,-17.698611111111113,-71.37330555555555,25,4,0.1238401840015268
PUNTA COLES,-17.698611111111113,-71.37330555555555,25,5,0.1687229137522411
